City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,tura,25.5198,90.2201,24.74,95,100,0.7,IN,1724384452
178,pandan,14.0453,124.1694,31.03,66,100,0.67,PH,1724384453
179,puerto aysen,-45.4,-72.7,4.17,99,100,1.1,CL,1724384010
180,bokakhat,26.6333,93.6,27.56,85,100,1.02,IN,1724384455
181,el nido,11.1858,119.3956,26.42,89,100,3.07,PH,1724384456
182,manicore,-5.8092,-61.3003,25.25,42,7,1.14,BR,1724384457
183,kichmengskiy gorodok,59.9816,45.7854,13.58,73,4,1.26,RU,1724384458
184,prince rupert,54.3161,-130.3201,13.05,93,75,4.12,CA,1724384459
185,sitka,57.0531,-135.33,12.94,88,100,2.57,US,1724384461
186,al qaryatayn,34.2296,37.2407,21.95,75,0,1.58,SY,1724384462
187,lihue,21.9789,-159.3672,27.77,68,20,7.2,US,1724384463
188,miles city,46.4083,-105.8406,24.54,38,0,4.12,US,1724384465
189,callao,-12.0667,-77.15,15.95,88,100,6.17,PE,1724384466
190,bikenibeu village,1.3673,173.1241,30.98,70,20,3.6,KI,1724384467
191,aykhal,66.0,111.5,17.16,71,100,4.9,RU,1724384469
192,khandyga,62.6667,135.6,22.17,53,75,1.79,RU,1724384269
193,weno,7.4515,151.8468,30.97,70,75,3.6,FM,1724384471
194,sakata,38.9167,139.855,34.1,55,75,5.14,JP,1724384473
195,maragogi,-9.0122,-35.2225,23.06,83,23,4.7,BR,1724384474
196,archangelos,36.2149,28.1149,25.17,77,0,2.17,GR,1724384475
197,isafjordur,66.0755,-23.124,2.76,98,100,8.6,IS,1724384476
198,santa terezinha,-29.9002,-50.0904,16.66,89,100,1.29,BR,1724384477
199,iqaluit,63.7506,-68.5145,9.85,81,100,2.06,CA,1724384478
200,nadi,-17.8,177.4167,28.0,61,40,6.17,FJ,1724384479
201,holualoa,19.6228,-155.9522,25.91,85,75,4.12,US,1724384480
202,afaahiti,-17.75,-149.2833,23.36,70,90,9.89,PF,1724384481
203,mil'kovo,55.6078,37.7956,17.41,63,100,3.5,RU,1724384017
204,tual,-5.6667,132.75,25.65,88,81,7.01,ID,1724384484
205,cestos city,5.46,-9.5828,24.34,91,97,3.9,LR,1724384485
206,san antonio de pale,-1.4014,5.6325,23.02,84,100,5.53,GQ,1724384486
207,mlowo,-9.0,32.9833,10.05,90,0,0.59,TZ,1724384487
208,maun,-19.9833,23.4167,17.98,27,0,5.66,BW,1724384488
209,canutama,-6.5339,-64.3831,25.89,43,4,1.43,BR,1724384489
210,janesville,42.6828,-89.0187,16.19,77,0,0.0,US,1724384474
211,minas de marcona,-15.2119,-75.1103,9.63,93,95,7.67,PE,1724384492
212,bereeda,11.8704,51.0579,30.54,52,100,2.59,SO,1724384493
213,bullsbrook,-31.6667,116.0,18.63,94,40,5.66,AU,1724384494
214,port mathurin,-19.6833,63.4167,22.49,77,99,9.56,MU,1724384495
215,el calafate,-50.3408,-72.2768,1.74,63,97,1.91,AR,1724384496
216,ola,59.5833,151.2833,14.16,62,0,2.95,RU,1724384497
217,mount isa,-20.7333,139.5,32.87,16,4,5.66,AU,1724384001
218,port elizabeth,-33.918,25.5701,13.16,82,0,9.26,ZA,1724384350
219,kingston,17.997,-76.7936,28.53,79,20,3.09,JM,1724384500
220,cozumel,20.5083,-86.9458,26.64,91,71,5.12,MX,1724384502
221,pindushi,62.9152,34.58,15.79,87,75,3.54,RU,1724384503
222,augusta,48.3667,10.8833,12.82,94,67,2.57,DE,1724384417
223,sakaraha,-22.9,44.5333,14.09,97,14,1.81,MG,1724384505
224,aasiaat,68.7098,-52.8699,2.15,89,100,3.06,GL,1724384506
225,mossel bay,-34.1831,22.146,8.96,51,2,3.84,ZA,1724384508
226,chibougamau,49.9168,-74.3659,12.79,94,20,1.03,CA,1724384510
227,gadzhiyevo,69.2551,33.3362,14.97,70,52,7.14,RU,1724384511
228,nephi,39.7102,-111.8363,18.15,63,36,3.16,US,1724384512
229,huaraz,-9.5333,-77.5333,13.45,68,58,2.22,PE,1724384513
230,wanning,18.8003,110.3967,32.41,61,100,4.73,CN,1724384514
231,la'ie,21.6477,-157.9253,27.66,75,22,4.47,US,1724384515
232,siem reap,13.5,104.0,33.67,54,96,1.81,KH,1724384517
233,mount gambier,-37.8333,140.7667,13.97,80,100,6.44,AU,1724384518
234,abaetetuba,-1.7181,-48.8825,24.26,88,14,2.28,BR,1724384520
235,itoman,26.1247,127.6694,31.72,81,75,3.6,JP,1724384521
236,el fasher,13.6279,25.3494,25.19,74,100,4.29,SD,1724384522
237,portoferraio,42.8115,10.3146,23.29,83,6,4.12,IT,1724384524
238,avranches,48.6833,-1.3667,19.05,88,100,7.82,FR,1724384525
239,hanceville,34.0607,-86.7675,23.45,75,45,2.26,US,1724384526
240,srivardhan,18.0333,73.0167,27.85,85,100,6.39,IN,1724384528
241,port hedland,-20.3167,118.5667,27.03,65,20,6.17,AU,1724384529
242,hithadhoo,-0.6,73.0833,27.93,75,100,4.0,MV,1724384530
243,nar'yan-mar,67.6713,53.087,14.94,64,61,4.13,RU,1724384350
244,polyarnyy,69.1989,33.4478,14.45,69,53,7.75,RU,1724384054
245,sault ste. marie,46.5168,-84.3333,16.16,82,0,1.54,CA,1724384420
246,boguchany,58.3814,97.4531,18.62,67,92,4.29,RU,1724384534
247,broken hill,-31.95,141.4333,26.02,25,1,14.3,AU,1724384535
248,veinticinco de mayo,-35.4323,-60.1727,3.32,94,17,0.45,AR,1724384536
249,tazovsky,67.4667,78.7,10.27,85,97,2.76,RU,1724384538
250,kone,-21.0595,164.8658,26.73,46,0,2.18,NC,1724384539
251,al majaridah,19.1236,41.9111,27.89,87,100,1.22,SA,1724384540
252,torres,-29.3353,-49.7269,16.98,89,100,1.23,BR,1724384541
253,wynyard,-41.0,145.7167,14.55,74,99,0.89,AU,1724384542
254,remire-montjoly,4.9167,-52.2667,26.02,94,0,2.57,GF,1724384543
255,jijel,36.8205,5.7667,19.97,60,71,16.98,DZ,1724384544
256,adra,36.7496,-3.0206,23.92,76,0,0.9,ES,1724384545
257,tekeli,44.83,78.8239,26.61,22,27,1.59,KZ,1724384547
258,undurkhaan,47.3194,110.6556,23.18,62,45,3.56,MN,1724384548
